image_path,mask_path
ai\data\segmentation\images\BraTS2021_00002_z032.png,ai\data\segmentation\masks\BraTS2021_00002_z032.png
ai\data\segmentation\images\BraTS2021_00002_z034.png,ai\data\segmentation\masks\BraTS2021_00002_z034.png
ai\data\segmentation\images\BraTS2021_00002_z036.png,ai\data\segmentation\masks\BraTS2021_00002_z036.png
ai\data\segmentation\images\BraTS2021_00002_z038.png,ai\data\segmentation\masks\BraTS2021_00002_z038.png
ai\data\segmentation\images\BraTS2021_00002_z040.png,ai\data\segmentation\masks\BraTS2021_00002_z040.png
ai\data\segmentation\images\BraTS2021_00002_z042.png,ai\data\segmentation\masks\BraTS2021_00002_z042.png
ai\data\segmentation\images\BraTS2021_00002_z044.png,ai\data\segmentation\masks\BraTS2021_00002_z044.png
ai\data\segmentation\images\BraTS2021_00002_z046.png,ai\data\segmentation\masks\BraTS2021_00002_z046.png
ai\data\segmentation\images\BraTS2021_00002_z048.png,ai\data\segmentation\masks\BraTS2021_00002_z048.png
ai\data\segmentation\images\BraTS2021_00002_z050.png,ai\data\segmentation\masks\BraTS2021_00002_z050.png
ai\data\segmentation\images\BraTS2021_00002_z052.png,ai\data\segmentation\masks\BraTS2021_00002_z052.png
ai\data\segmentation\images\BraTS2021_00002_z054.png,ai\data\segmentation\masks\BraTS2021_00002_z054.png
ai\data\segmentation\images\BraTS2021_00002_z056.png,ai\data\segmentation\masks\BraTS2021_00002_z056.png
ai\data\segmentation\images\BraTS2021_00002_z058.png,ai\data\segmentation\masks\BraTS2021_00002_z058.png
ai\data\segmentation\images\BraTS2021_00002_z060.png,ai\data\segmentation\masks\BraTS2021_00002_z060.png
ai\data\segmentation\images\BraTS2021_00002_z062.png,ai\data\segmentation\masks\BraTS2021_00002_z062.png
ai\data\segmentation\images\BraTS2021_00003_z000.png,ai\data\segmentation\masks\BraTS2021_00003_z000.png
ai\data\segmentation\images\BraTS2021_00003_z002.png,ai\data\segmentation\masks\BraTS2021_00003_z002.png
ai\data\segmentation\images\BraTS2021_00003_z004.png,ai\data\segmentation\masks\BraTS2021_00003_z004.png
ai\data\segmentation\images\BraTS2021_00003_z006.png,ai\data\segmentation\masks\BraTS2021_00003_z006.png
ai\data\segmentation\images\BraTS2021_00003_z008.png,ai\data\segmentation\masks\BraTS2021_00003_z008.png
ai\data\segmentation\images\BraTS2021_00003_z010.png,ai\data\segmentation\masks\BraTS2021_00003_z010.png
ai\data\segmentation\images\BraTS2021_00003_z012.png,ai\data\segmentation\masks\BraTS2021_00003_z012.png
ai\data\segmentation\images\BraTS2021_00003_z014.png,ai\data\segmentation\masks\BraTS2021_00003_z014.png
ai\data\segmentation\images\BraTS2021_00003_z016.png,ai\data\segmentation\masks\BraTS2021_00003_z016.png
ai\data\segmentation\images\BraTS2021_00003_z018.png,ai\data\segmentation\masks\BraTS2021_00003_z018.png
ai\data\segmentation\images\BraTS2021_00003_z020.png,ai\data\segmentation\masks\BraTS2021_00003_z020.png
ai\data\segmentation\images\BraTS2021_00003_z022.png,ai\data\segmentation\masks\BraTS2021_00003_z022.png
ai\data\segmentation\images\BraTS2021_00003_z024.png,ai\data\segmentation\masks\BraTS2021_00003_z024.png
ai\data\segmentation\images\BraTS2021_00003_z026.png,ai\data\segmentation\masks\BraTS2021_00003_z026.png
ai\data\segmentation\images\BraTS2021_00003_z028.png,ai\data\segmentation\masks\BraTS2021_00003_z028.png
ai\data\segmentation\images\BraTS2021_00003_z030.png,ai\data\segmentation\masks\BraTS2021_00003_z030.png
ai\data\segmentation\images\BraTS2021_00003_z032.png,ai\data\segmentation\masks\BraTS2021_00003_z032.png
ai\data\segmentation\images\BraTS2021_00003_z034.png,ai\data\segmentation\masks\BraTS2021_00003_z034.png
ai\data\segmentation\images\BraTS2021_00003_z036.png,ai\data\segmentation\masks\BraTS2021_00003_z036.png
ai\data\segmentation\images\BraTS2021_00003_z038.png,ai\data\segmentation\masks\BraTS2021_00003_z038.png
ai\data\segmentation\images\BraTS2021_00003_z040.png,ai\data\segmentation\masks\BraTS2021_00003_z040.png
ai\data\segmentation\images\BraTS2021_00003_z042.png,ai\data\segmentation\masks\BraTS2021_00003_z042.png
ai\data\segmentation\images\BraTS2021_00003_z044.png,ai\data\segmentation\masks\BraTS2021_00003_z044.png
ai\data\segmentation\images\BraTS2021_00003_z046.png,ai\data\segmentation\masks\BraTS2021_00003_z046.png
ai\data\segmentation\images\BraTS2021_00003_z048.png,ai\data\segmentation\masks\BraTS2021_00003_z048.png
ai\data\segmentation\images\BraTS2021_00003_z050.png,ai\data\segmentation\masks\BraTS2021_00003_z050.png
ai\data\segmentation\images\BraTS2021_00003_z052.png,ai\data\segmentation\masks\BraTS2021_00003_z052.png
ai\data\segmentation\images\BraTS2021_00003_z054.png,ai\data\segmentation\masks\BraTS2021_00003_z054.png
ai\data\segmentation\images\BraTS2021_00003_z056.png,ai\data\segmentation\masks\BraTS2021_00003_z056.png
ai\data\segmentation\images\BraTS2021_00003_z058.png,ai\data\segmentation\masks\BraTS2021_00003_z058.png
ai\data\segmentation\images\BraTS2021_00003_z060.png,ai\data\segmentation\masks\BraTS2021_00003_z060.png
ai\data\segmentation\images\BraTS2021_00003_z062.png,ai\data\segmentation\masks\BraTS2021_00003_z062.png
